iter	Passed	Remaining
662	14632	7437
663	14659	7418
664	14686	7398
665	14711	7378
666	14735	7356
667	14758	7335
668	14779	7312
669	14808	7293
670	14828	7270
671	14852	7249
672	14872	7226
673	14896	7204
674	14919	7183
675	14947	7164
676	14969	7141
677	14989	7118
678	15009	7095
679	15034	7074
680	15056	7052
681	15079	7031
682	15101	7008
683	15128	6989
684	15149	6966
685	15171	6944
686	15192	6921
687	15214	6899
688	15235	6877
689	15258	6855
690	15278	6832
691	15303	6811
692	15325	6789
693	15352	6769
694	15374	6746
695	15401	6726
696	15423	6704
697	15446	6683
698	15469	6661
699	15492	6639
700	15517	6618
701	15539	6596
702	15561	6574
703	15581	6551
704	15603	6528
705	15623	6506
706	15649	6485
707	15671	6463
708	15697	6442
709	15718	6420
710	15743	6399
711	15766	6377
712	15788	6355
713	15810	6332
714	15837	6312
715	15861	6291
716	15886	6270
717	15908	6248
718	15937	6228
719	15960	6206
720	15985	6185
721	16006	6163
722	16026	6140
723	16047	6117
724	16074	6097
725	16096	6074
726	16122	6054
727	16144	6031
728	16173	6012
729	16195	5990
730	16216	5967
731	16237	5944
732	16259	5922
733	16278	5899
734	16301	5877
735	16320	5854
736	16349	5834
737	16369	5811
738	16394	5790
739	16414	5767
740	16439	5746
741	16461	5723
742	16483	5701
743	16504	5679
744	16530	5658
745	16550	5635
746	16575	5613
747	16596	5591
748	16623	5570
749	16647	5549
750	16678	5529
751	16701	5508
752	16731	5488
753	16754	5466
754	16779	5444
755	16800	5422
756	16825	5401
757	16850	5379
758	16874	5358
759	16896	5335
760	16923	5314
761	16943	5292
762	16967	5270
763	16990	5248
764	17013	5226
765	17033	5203
766	17055	5181
767	17077	5158
768	17099	5136
769	17123	5114
770	17146	5092
771	17166	5069
772	17196	5050
773	17217	5027
774	17245	5006
775	17266	4984
776	17292	4962
777	17317	4941
778	17341	4919
779	17363	4897
780	17384	4874
781	17408	4852
782	17428	4830
783	17456	4809
784	17479	4787
785	17510	4767
786	17534	4745
787	17564	4725
788	17589	4703
789	17610	4681
790	17632	4658
791	17655	4636
792	17681	4615
793	17702	4592
794	17725	4570
795	17745	4547
796	17771	4526
797	17791	4503
798	17813	4481
799	17833	4458
800	17855	4436
801	17875	4413
802	17896	4390
803	17917	4367
804	17941	4346
805	17961	4323
806	17988	4301
807	18010	4279
808	18032	4257
809	18052	4234
810	18076	4212
811	18098	4190
812	18124	4168
813	18147	4146
814	18172	4125
815	18194	4102
816	18219	4080
817	18238	4058
818	18266	4037
819	18286	4014
820	18311	3992
821	18331	3969
822	18357	3948
823	18381	3926
824	18406	3904
825	18429	3882
826	18456	3860
827	18477	3838
828	18506	3817
829	18529	3795
830	18554	3773
831	18575	3750
832	18600	3728
833	18622	3706
834	18656	3686
835	18679	3664
836	18708	3643
837	18729	3620
838	18753	3598
839	18772	3575
840	18797	3553
841	18817	3530
842	18845	3509
843	18865	3487
844	18889	3464
845	18910	3442
846	18937	3420
847	18958	3398
848	18982	3376
849	19004	3353
850	19033	3332
851	19054	3310
852	19099	3291
853	19134	3271
854	19154	3248
855	19179	3226
856	19202	3204
857	19227	3182
858	19248	3159
859	19271	3137
860	19291	3114
861	19316	3092
862	19337	3069
863	19361	3047
864	19383	3025
865	19412	3003
866	19435	2981
867	19459	2959
868	19479	2936
869	19509	2915
870	19534	2893
871	19560	2871
872	19584	2849
873	19612	2827
874	19634	2804
875	19665	2783
876	19688	2761
877	19716	2739
878	19738	2717
879	19763	2695
880	19786	2672
881	19811	2650
882	19831	2627
883	19854	2605
884	19874	2582
885	19901	2560
886	19924	2538
887	19944	2515
888	19967	2493
889	19994	2471
890	20017	2448
891	20042	2426
892	20066	2404
893	20093	2382
894	20115	2359
895	20139	2337
896	20163	2315
897	20188	2293
898	20211	2270
899	20238	2248
900	20257	2225
901	20279	2203
902	20299	2180
903	20320	2157
904	20340	2135
905	20362	2112
906	20382	2089
907	20406	2067
908	20427	2044
909	20450	2022
910	20470	1999
911	20495	1977
912	20515	1954
913	20543	1932
914	20567	1910
915	20591	1888
916	20613	1865
917	20645	1844
918	20668	1821
919	20699	1799
920	20721	1777
921	20746	1755
922	20768	1732
923	20793	1710
924	20815	1687
925	20841	1665
926	20862	1642
927	20893	1621
928	20915	1598
929	20941	1576
930	20962	1553
931	20989	1531
932	21008	1508
933	21032	1486
934	21053	1463
935	21075	1441
936	21096	1418
937	21122	1396
938	21142	1373
939	21169	1351
940	21190	1328
941	21217	1306
942	21237	1283
943	21267	1261
944	21288	1239
945	21317	1216
946	21338	1194
947	21362	1171
948	21383	1149
949	21415	1127
950	21438	1104
951	21467	1082
952	21488	1059
953	21514	1037
954	21537	1014
955	21562	992
956	21582	969
957	21606	947
958	21632	924
959	21660	902
960	21683	879
961	21702	857
962	21727	834
963	21749	812
964	21779	789
965	21802	767
966	21826	744
967	21846	722
968	21874	699
969	21894	677
970	21925	654
971	21947	632
972	21972	609
973	21993	587
974	22020	564
975	22042	542
976	22067	519
977	22089	496
978	22111	474
979	22133	451
980	22156	429
981	22179	406
982	22204	384
983	22225	361
984	22248	338
985	22272	316
986	22300	293
987	22322	271
988	22354	248
989	22376	226
990	22401	203
991	22423	180
992	22443	158
993	22464	135
994	22490	113
995	22511	90
996	22537	67
997	22559	45
998	22584	22
999	22605	0
